State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_type_TCPD,Party_ID,Max_Poll_No,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Country,Women %,,,Name of Party,Result_2019,Result_2014,Share_2019,Share_2014,MH_2009_Party,MH_2009_Seats,MH_2009_Votes%,MH_2014_Party,MH_2014_Seats,MH_2014_Votes%,MH_Year,Congress Seats
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,15,GOUR CHANDRA MAJUMDER,M,IND,221,GEN,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.11,yes,9,0,2.38,GEAN73949,Independents,10809,0,TRUE,3,BSP,16651,,,FALSE,0,FALSE,FALSE,TRUE,,,,,Janata Dal,16,2,3.463203463,0.454545455,,,,,,,,
Andaman_&_Nicobar_Islands,17,1,2019,4,0,4,16,C G SAJI KUMAR,M,All India Hindustan Congress Party,212,GEN,207296,317878,ANDAMAN & NICOBAR ISLANDS,GEN,,15,65.21,0.1,yes,0,0,2.38,GEAN14908,Local Party,662,0,TRUE,2,IND,10809,,,FALSE,0,FALSE,FALSE,TRUE,,,,,Jharkhand Mukti Morcha,1,2,0.216450216,0.454545455,,,,,,,,
Andhra_Pradesh,17,1,2019,4,0,4,1,GODDETI. MADHAVI,F,YSRCP,557561,ST,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,52.26,no,221398,20.75,2.7,19,State-based Party,8615,0,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,,,,,Kerala Congress,1,1,0.216450216,0.227272727,,,,,,,,
Andhra_Pradesh,17,1,2019,4,0,4,2,KISHORE CHANDRA DEO,M,TDP,336163,ST,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,31.51,no,288208,27.01,2.7,GEAP23685,State-based Party,8300,0,TRUE,10,INC,3482,,,FALSE,5,TRUE,FALSE,TRUE,,,,,Lok Jan Shakti Party,6,6,1.298701299,1.363636364,,,,,,,,
Andhra_Pradesh,17,1,2019,4,0,4,3,None Of The Above,,NOTA,47955,,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,4.49,yes,5710,0.54,2.7,,,,0,TRUE,545,NOTA,,,,,0,,FALSE,TRUE,,,,,Mizo National Front,1,,0.216450216,,,,,,,,,
Andhra_Pradesh,17,1,2019,4,0,4,4,GANGULAIAH VAMPURU.,M,Janasena Party,42245,ST,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,3.96,yes,24589,2.3,2.7,20,Local Party,17069,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,Naga Peoples Front,1,1,0.216450216,0.227272727,,,,,,,,
Andhra_Pradesh,17,1,2019,4,0,4,5,SHRUTI DEVI VYRICHERLA,F,INC,17656,ST,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,1.65,yes,78,0.01,2.7,17,National Party,3482,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,1,2019,4,0,4,6,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,BJP,17578,ST,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,1.65,yes,3768,0.35,2.7,18,National Party,1605,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,1,2019,4,0,4,7,KANGALA BALUDORA,M,IND,13810,ST,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,1.29,yes,2579,0.24,2.7,23,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,1,2019,4,0,4,8,NARAVA SATYAVATHI,F,IND,11231,ST,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,1.05,yes,1020,0.1,2.7,24,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,1,2019,4,0,4,9,ANUMULA VAMSIKRISHNA,M,IND,10211,ST,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,0.96,yes,2348,0.22,2.7,22,Independents,10809,0,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,
Andhra_Pradesh,17,1,2019,4,0,4,10,BIDDIKA RAMAYYA.,M,IND,7863,ST,1066978,1449334,ARUKU,ST,SEEMANDHRA,10,73.62,0.74,yes,3158,0.3,2.7,GEAP15031,Independents,10809,0,TRUE,2,IND,10809,,,TRUE,0,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,
